broker,share
dr. martin pfitscher,0.0003536276301054989
michael pinzolits,0.0003536276301054989
dr. markus mannlicher,0.0003536276301054989
ingrid stütz,0.0003536276301054989
thomas wagner,0.0003536276301054989
concetta merle,0.0003536276301054989
bennet varughese,0.0003536276301054989
peter bigus,0.0003536276301054989
udo bereswill,0.0003536276301054989
peter krammer,0.0003536276301054989
alexis forabosco,0.0003536276301054989
meralda beljur,0.0003536276301054989
roland gith,0.0003536276301054989
dieter marker,0.0003536276301054989
mag. nataliia borodaienko,0.0003536276301054989
deniz berber,0.0003536276301054989
lisa katrin stiegler,0.0003536276301054989
mag. christa preisl,0.0003536276301054989
mag. bernhard jakob,0.0003536276301054989
attila déry,0.0003536276301054989
nataliya schweda,0.00029468969175458243
matthias gregoritsch,0.00029468969175458243
nina bachinger,0.00029468969175458243
sasa nika,0.00029468969175458243
stefan besic,0.00029468969175458243
mag. philipp stolz,0.00029468969175458243
gregor roesler-schmidt,0.00029468969175458243
mag. manfred zeilinger,0.00029468969175458243
sabrina schmidt,0.00029468969175458243
elisabeth preissl,0.00029468969175458243
nina bruckmann,0.00029468969175458243
dr. monika alram,0.00029468969175458243
msc denise hartl-kirchner,0.00029468969175458243
angelika palsrok,0.00029468969175458243
johannes m. pokorny,0.00029468969175458243
jaqueline hofbauer-klischin,0.00029468969175458243
mag. sabine klein,0.00029468969175458243
sophie riess (vormals weilguni),0.00029468969175458243
rudolf brandstetter,0.00029468969175458243
kulev,0.00029468969175458243
said fahmy,0.00029468969175458243
peter führer,0.00029468969175458243
markus schafroth,0.00029468969175458243
stephan öppinger,0.00029468969175458243
antonius mikhael,0.00029468969175458243
mag. gudrun pehn-mungenast,0.00029468969175458243
captura,0.00029468969175458243
vladislav zakharov,0.00029468969175458243
maximilian cypris,0.00029468969175458243
jana brenkusova,0.00029468969175458243
"david schober, msc",0.00029468969175458243
romeo graf,0.00029468969175458243
anita zauder,0.00029468969175458243
mag. susanne gulz,0.00029468969175458243
ksenia zollner,0.00029468969175458243
"mag. alexandra wagner, msc.",0.00029468969175458243
"alexandra schober, msc.",0.00029468969175458243
martin melcher,0.00029468969175458243
"susanne landerer, ba",0.00029468969175458243
patrick bitschnau,0.00029468969175458243
thomas poltz,0.00029468969175458243
ursula rabas,0.00029468969175458243
franz lind,0.00029468969175458243
mag. beate bernleithner,0.00029468969175458243
"martin langstadlinger, ma",0.00029468969175458243
roswitha babitsch,0.00029468969175458243
darina bednarova,0.00029468969175458243
sven mayer,0.00029468969175458243
tobias,0.00029468969175458243
vladimir rancic,0.00029468969175458243
mag. stefan slezak,0.00029468969175458243
oliver kalandra,0.00029468969175458243
karin hanika,0.00029468969175458243
oliver jovanovic,0.00029468969175458243
mag. alexander pallendorf,0.00029468969175458243
roham loghmani bba,0.00029468969175458243
heidrun steiner,0.00029468969175458243
sanja heuer,0.00029468969175458243
alexander kratzer,0.00029468969175458243
österreichisches siedlungswerk gemeinnützige wohnungsaktiengesellschaft,0.00029468969175458243
david broscheit,0.00029468969175458243
michael vajk,0.00029468969175458243
thomas musser,0.00029468969175458243
gernot schmelz,0.00029468969175458243
mag.(fh) andreas willmann,0.00029468969175458243
christoph handl,0.00023575175340366595
susanne lauterbach,0.00023575175340366595
magdalena tiatco-frank,0.00023575175340366595
christopher reischel,0.00023575175340366595
barbara polster,0.00023575175340366595
roland langer,0.00023575175340366595
deborah uston,0.00023575175340366595
mag. barbara zischka,0.00023575175340366595
dr. marie-therese gabriel,0.00023575175340366595
denise lauchard,0.00023575175340366595
jürgen schuster,0.00023575175340366595
amanda huhbauer,0.00023575175340366595
